votes,gas,blocks15,blocks30,fee15,fee30
3369,5154785616,15962875,,,
3193,4885494352,15964213,,,
3309,5062981776,15963356,,,
4057,6207469648,15958492,,,
4375,6694030000,15956648,,,
4183,6400257712,15957789,,,
3642,5572493088,15960865,,,
3826,5854024864,15959635,,,
4718,7218841952,15954489,,,
3204,4902325056,15964147,,,
3155,4827351920,15964461,,,
3290,5033910560,15963508,,,
4040,6181458560,15958581,,,
4672,7148459008,15954788,,,
4474,6845506336,15956056,,,
3293,5038500752,15963478,,,
3038,4648334432,15965292,,,
4073,6231950672,15958399,,,
4617,7064305488,15955150,,,
4361,6672609104,15956744,,,
4943,7563106352,15953175,,,
4003,6124846192,15958745,,,
4071,6228890544,15958414,,,
4021,6152387344,15958669,,,
4357,6666488848,15956775,,,
3866,5915227424,15959389,,,
3152,4822761728,15964486,,,
4511,6902118704,15955864,,,
3396,5196097344,15962718,,,
3001,4591722064,15965580,,,
4303,6583865392,15957100,,,
4707,7202011248,15954553,,,
4287,6559384368,15957179,,,
4513,6905178832,15955856,,,
3026,4629973664,15965394,,,
3263,4992598832,15963699,,,
4676,7154579264,15954764,,,
4694,7182120416,15954623,,,
4835,7397859440,15953723,,,
3449,5277190736,15962285,,,
4114,6294683296,15958153,,,
4696,7185180544,15954610,,,
4460,6824085440,15956134,,,
4705,7198951120,15954563,,,
4187,6406377968,15957765,,,
4662,7133158368,15954866,,,
4559,6975561776,15955543,,,
3139,4802870896,15964572,,,
3458,5290961312,15962223,,,
4864,7442231296,15953578,,,
4853,7425400592,15953632,,,
3886,5945828704,15959270,,,
3344,5116534016,15963094,,,
3228,4939046592,15963972,,,
3829,5858615056,15959611,,,
3484,5330742976,15962031,,,
3516,5379705024,15961774,,,
3800,5814243200,15959799,,,
3559,5445497776,15961434,,,
3971,6075884144,15958883,,,
3131,4790630384,15964619,,,
3865,5913697360,15959394,,,
3850,5890746400,15959493,,,
4321,6611406544,15956999,,,
4815,7367258160,15953834,,,
4776,7307585664,15954077,,,
4479,6853156656,15956028,,,
4229,6470640656,15957510,,,
4937,7553925968,15953204,,,
